49374 143730
13652 14428 192
13652 14429 191
13653 12544 67
13653 13652 96
13653 14536 194
13653 14537 189
13654 7988 108
13654 18078 193
13654 28064 191
13655 7988 109
13655 13656 107
13655 18079 195
13655 28065 189
13656 12878 107
13656 13655 107
13656 13862 197
13656 13863 187
13657 12878 99
13657 13658 109
13657 15119 195
13657 15120 190
13658 9152 107
13658 13657 109
13658 18080 197
13658 28066 188
13659 9152 108
13659 13660 107
13659 18081 196
13659 28067 187
13660 13659 107
13660 13661 108
13660 18082 195
13660 24443 187
13661 13660 108
13661 13662 108
13661 18083 195
13661 18575 176
13662 13661 108
13662 13663 106
13662 18084 194
13663 13662 106
13663 18085 194
13663 46071 134
13664 28069 707
13664 41472 184
13664 42922 829
13665 11426 76
13666 6819 202
13666 12415 116
13666 21679 104
13667 7469 293
13668 13669 129
13668 31207 57
13669 13668 129
13669 33098 126
13669 37985 109
13670 7774 418
13670 37984 58
13670 37985 47
13671 13672 76
13671 25407 112
13671 25408 48
13672 13671 76
13672 13673 111
13672 29488 73
13673 13672 111
13674 6961 94
13674 15010 301
13674 31995 209
13674 42115 140
13675 13676 106
13675 36115 191
13675 48652 107
13676 13675 106
13676 14317 101
13676 24073 295
13676 30356 105
13677 4760 92
13677 9502 293
13677 27341 90
13678 11411 159
13678 17446 73
13678 17447 112
13679 8046 134
13679 15667 106
13679 15668 106
13680 12298 182
13680 29758 108
13680 31937 109
13681 6748 96
13681 13682 183
13681 28037 88
13682 13681 183
13682 21590 81
13682 21591 73
13683 30190 89
13683 48323 24
13684 13685 54
13684 23353 329
13684 23354 1140
13685 13684 54
13686 10792 205
13686 13687 14
13686 34223 74
13687 11185 54
13687 13686 14
13687 19782 83
13688 10162 84
13688 10169 254
13688 10170 91
13688 47239 162
13689 27093 34
13689 32461 113
13689 47238 128
13689 47239 163
13690 8482 47
13690 34367 107
13690 47238 9
13691 10791 294
13691 19783 51
13691 25835 255
13692 13693 185
13692 26133 243
13692 39258 208
13693 13692 185
13694 23759 159
13694 23760 256
13694 28357 63
13695 14674 104
13695 15192 102
13695 47523 26
13696 12183 100
13696 13697 100
13696 23755 151
13696 31476 248
13697 13696 100
13697 13698 100
13697 23756 151
13697 31477 247
13698 13697 100
13698 13699 102
13698 19704 248
13698 19705 152
13699 13698 102
13699 13700 201
13699 14680 87
13699 31155 88
13700 13699 201
13700 13701 203
13700 14681 87
13700 17087 89
13701 13700 203
13701 14682 88
13701 29784 88
13702 31152 83
13702 31158 95
13702 38792 81
13703 13704 205
13703 26504 159
13703 42239 98
13704 13703 205
13704 13705 41
13704 18414 143
13705 13704 41
13705 41534 254
13705 43565 61
13706 13707 76
13706 41537 53
13706 44314 122
13707 10144 90
13707 13706 76
13707 26505 122
13708 10144 93
13708 13709 92
13708 22439 100
13708 22440 122
13709 3037 90
13709 13708 92
13709 45580 125
13710 3037 98
13710 13711 100
13710 26506 118
13711 13710 100
13711 26508 122
13711 46121 35
13712 21655 126
13712 42237 105
13712 42862 108
13713 2079 106
13713 23098 124
13713 42237 109
13714 10501 108
13714 26511 127
13714 38228 78
13715 6254 109
13715 10501 108
13715 23008 101
13715 23009 124
13716 6254 105
13716 13717 99
13716 46117 129
13717 13716 99
13717 13718 101
13717 26513 123
13718 13717 101
13718 13719 102
13718 25932 109
13718 25933 118
13719 13718 102
13719 13720 92
13719 25943 122
13720 13719 92
13720 36244 74
13720 36245 110
13721 13722 67
13721 36240 180
13721 36241 107
13722 13721 67
13722 13723 68
13722 36242 113
13723 13722 68
13723 13724 83
13723 26517 116
13723 27242 117
13724 13723 83
13724 13725 102
13724 26518 123
13725 13724 102
13725 13726 93
13725 25510 125
13726 13725 93
13726 13727 80
13726 18869 135
13727 13726 80
13727 13728 83
13727 26519 147
13728 13727 83
13728 13729 102
13728 15734 107
13728 15735 156
13729 13728 102
13729 13730 98
13729 26520 181
13730 13729 98
13730 13731 106
13730 26521 188
13731 3611 102
13731 13730 106
13731 16238 211
13732 25635 107
13732 41746 100
13732 41780 100
13732 41829 126
13733 49301 12
13733 277 240
13733 36363 101
13734 13735 200
13734 19076 126
13734 598 94
13734 1706 128
13735 13734 200
13735 27639 125
13735 441 128
13735 1750 202
13736 13737 203
13736 26483 125
13736 27641 125
13736 1750 200
13737 8826 130
13737 11711 197
13737 13736 203
13737 27642 126
13738 11711 209
13738 13739 384
13738 27643 130
13738 761 125
13739 13738 384
13739 35695 190
13739 35697 132
13739 1590 125
13740 13741 83
13740 26488 126
13740 1652 90
13741 13740 83
13741 24213 130
13741 1651 103
13742 24822 123
13742 1647 93
13742 1648 95
13743 43454 144
13743 1647 114
13743 47942 126
13744 13745 210
13745 13744 210
13745 13983 103
13745 42239 48
13746 13747 71
13747 13746 71
13747 20647 41
13747 20648 42
13748 13028 101
13748 33679 104
13748 40788 402
13748 40902 196
13749 13750 77
13749 25992 109
13749 33982 833
13750 13749 77
13750 13751 100
13750 25993 110
13751 6183 82
13751 13750 100
13751 25995 68
13752 6183 31
13753 13754 150
13753 27093 143
13753 47238 63
13754 13753 150
13754 17282 168
13754 36893 81
13755 13756 39
13755 18818 62
13755 24038 77
13756 13755 39
13757 23396 86
13757 23891 128
13757 45177 100
13758 12011 153
13759 8483 148
13759 45669 328
13759 38139 33
13760 14943 378
13760 14944 42
13761 27717 61
13762 13763 169
13762 30049 83
13762 36519 53
13763 13762 169
13764 3369 116
13764 44838 237
13764 44839 227
13765 6272 157
13766 13767 166
13766 23218 307
13766 29726 43
13767 13766 166
13768 13769 244
13768 26849 68
13768 26850 94
13769 13768 244
13769 13770 100
13769 26440 34
13770 13769 100
13770 28711 73
13770 28712 73
13771 15731 165
13771 25263 547
13771 46785 63
13772 13773 36
13773 2868 108
13773 13772 36
13773 15480 93
13773 15482 302
13774 2874 104
13774 13775 59
13774 15490 92
13775 13774 59
13776 40701 274
13776 41110 145
13776 48622 56
13777 7129 109
13777 34881 53
13777 44362 55
13778 5977 318
13778 160 46
13778 44302 37
13779 10000 136
13779 13780 189
13779 27115 67
13779 48482 60
13780 13779 189
13781 13782 88
13781 15826 480
13782 13781 88
13782 13783 86
13782 19602 332
13783 13782 86
13783 19602 256
13783 29394 90
13784 15438 157
13784 21530 175
13784 36581 96
13785 13786 79
13785 17067 280
13785 17068 88
13786 13785 79
13787 13788 73
13788 13787 73
13788 18821 121
13788 20198 122
13789 24956 201
13789 24957 199
13789 48874 201
13790 13791 290
13790 17890 100
13790 48875 109
13791 13790 290
13791 13792 203
13791 17328 99
13791 17329 202
13792 13791 203
13792 15279 180
13792 21858 199
13793 4399 146
13793 4400 222
13793 21565 68
13794 5875 166
13795 5771 67
13796 5770 119
13796 11621 83
13796 31863 81
13797 2162 29
13797 20035 418
13797 39461 448
13797 46818 138
13798 46359 5
13798 46818 85
13798 47368 112
13799 3654 241
13799 1120 70
13799 46681 67
13800 9385 152
13800 13803 37
13800 18621 49
13801 9385 75
13801 13802 75
13801 31272 112
13802 13801 75
13802 13811 28
13802 31417 99
13803 13800 37
13803 18620 70
13803 1546 396
13804 13805 285
13804 13810 30
13804 31650 46
13805 13804 285
13805 13806 213
13805 26899 117
13806 13805 213
13806 13814 17
13806 38847 89
13807 7349 60
13808 13809 245
13808 26896 89
13808 31917 77
13808 42954 248
13809 13808 245
13809 13810 315
13809 26897 89
13809 33357 77
13810 13804 30
13810 13809 315
13810 26898 86
13811 13802 28
13811 13812 247
13811 31416 77
13812 13811 247
13812 13813 49
13812 29192 128
13812 36828 131
13813 13812 49
13814 13806 17
13814 26900 100
13814 46062 309
13815 13816 404
13815 26901 99
13815 34196 100
13815 46062 403
13816 10156 50
13816 13815 404
13816 26902 101
13816 34197 100
13817 10156 236
13817 10157 113
13817 1004 92
13817 38183 134
13818 13819 20
13818 31519 192
13818 43138 104
13818 45886 101
13819 13818 20
13819 31517 106
13819 43146 82
13820 6187 64
13820 13821 100
13820 25453 149
13821 13820 100
13821 13822 101
13821 33633 183
13822 13821 101
13822 34590 238
13822 43170 40
13823 43176 48
13823 46342 116
13823 46348 14
13824 2455 229
13824 13825 78
13824 30314 45
13825 13824 78
13826 13827 219
13826 19959 20
13826 19960 104
13827 13826 219
13827 13828 159
13827 25159 97
13827 25160 101
13828 13827 159
13828 13829 49
13828 31501 97
13828 34638 101
13829 2733 139
13829 13828 49
13829 29013 122
13830 8129 24
13831 13832 93
13832 13831 93
13832 13843 83
13832 25656 419
13833 13834 300
13833 34362 149
13833 44527 110
13834 13833 300
13834 34226 78
13834 47470 35
13835 44250 29
13835 44251 199
13835 35460 653
13835 47722 173
13836 15526 39
13836 21899 186
13836 32858 277
13836 38377 41
13837 4276 75
13837 5986 82
13837 13838 79
13838 13837 79
13839 30329 309
13839 35015 47
13839 38038 270
13840 4068 320
13841 13842 66
13842 13841 66
13842 13843 71
13842 14399 320
13843 12363 157
13843 13832 83
13843 13842 71
13844 7119 111
13844 23368 181
13844 36687 107
13844 36768 56
13845 7119 107
13845 13846 90
13845 26378 187
13846 13845 90
13846 13847 26
13846 17189 114
13847 13846 26
13847 13848 110
13847 26379 187
13848 13847 110
13848 13849 112
13848 16740 111
13848 16741 187
13849 13848 112
13849 13850 101
13849 23987 312
13849 26380 189
13850 7430 74
13850 13849 101
13850 17190 112
13850 26381 190
13851 7430 88
13851 13852 96
13851 17191 92
13851 28466 342
13852 13851 96
13852 13853 53
13852 18674 311
13853 13852 53
13854 3771 171
13854 42807 110
13854 891 33
13855 15762 156
13855 28481 162
13855 39482 212
13856 3008 505
13856 13857 34
13856 21509 126
13857 13856 34
13858 5859 43
13859 40122 86
13859 40128 87
13859 41081 122
13860 49365 190
13860 12874 108
13860 29876 106
13861 49363 190
13861 12876 107
13861 13862 202
13861 29878 107
13862 12877 108
13862 13656 197
13862 13861 202
13862 18079 108
13863 12879 106
13863 13656 187
13863 28065 107
13863 40726 201
13864 40726 179
13864 40755 111
13864 45542 18
13864 45965 65
13865 12870 93
13865 13866 67
13865 29880 106
13865 40749 305
13866 13865 67
13867 13868 243
13867 29598 100
13867 1598 98
13868 13867 243
13868 13869 108
13868 29881 49
13868 31112 102
13869 13868 108
13869 15014 83
13869 40118 289
13869 38808 59
13870 12869 94
13870 29815 93
13870 39909 240
13871 12864 92
13871 13065 252
13871 13872 372
13871 29879 91
13872 12865 91
13872 13871 372
13872 26457 89
13873 7998 255
13873 40115 166
13873 41075 68
13874 16857 37
13874 41656 86
13874 34892 44
13875 34892 31
13875 38110 81
13875 38111 20
13876 3089 72
13876 13877 97
13876 30360 133
13877 3090 72
13877 13876 97
13877 30360 35
13878 3293 74
13878 5499 131
13878 12160 208
13879 3293 293
13879 34908 10
13879 48570 86
13880 14939 173
13880 47064 17
13881 24007 578
13881 27039 510
13881 27040 457
13882 10525 104
13883 23431 202
13884 15417 86
13884 791 37
13884 38162 104
13884 38163 60
13885 2774 276
13885 13886 128
13885 32959 300
13885 42786 107
13886 13885 128
13886 20301 315
13886 38071 141
13887 13888 102
13887 14259 48
13887 37674 203
13888 13887 102
13888 13889 101
13888 23660 237
13889 13888 101
13889 13890 23
13889 32200 223
13890 13889 23
13890 13891 76
13890 47774 89
13891 13890 76
13891 15718 210
13891 37093 12
13892 13893 103
13892 26077 70
13892 37092 99
13893 13327 202
13893 13892 103
13893 22613 78
13894 13374 110
13894 19285 252
13894 23416 370
13895 13896 108
13896 7513 44
13896 13895 108
13896 13897 50
13897 13896 50
13898 3689 100
13898 7247 99
13898 13899 404
13898 468 228
13899 3690 105
13899 13898 404
13899 37011 404
13900 5368 385
13900 12615 355
13900 13901 96
13901 13900 96
13901 14874 168
13901 17708 139
13902 22309 91
13902 27385 90
13902 45053 198
13902 36341 247
13903 22311 88
13903 27386 87
13903 45053 318
13904 8724 101
13904 13905 99
13904 16245 459
13905 13119 101
13905 13904 99
13905 36254 439
13906 13119 100
13906 13907 100
13906 14905 399
13906 14906 101
13907 13906 100
13907 13908 99
13907 16246 375
13908 13907 99
13908 13909 88
13908 16247 355
13908 24847 101
13909 13908 88
13909 16248 335
13909 37586 89
13910 19973 101
13910 37586 23
13910 46299 184
13910 38152 201
13911 14737 137
13911 18603 30
13911 49054 68
13912 13011 92
13912 14738 183
13912 49054 44
13913 13011 100
13913 14739 204
13913 17271 204
13913 43900 98
13914 13915 105
13914 14733 202
13914 1837 97
13915 3665 98
13915 13914 105
13915 26888 107
13916 5792 99
13916 13917 93
13916 20147 150
13917 13916 93
13917 33641 94
13917 36148 107
13918 4872 236
13918 36149 85
13918 46379 43
13919 4876 105
13919 13920 48
13919 24843 86
13920 13919 48
13920 13921 105
13920 18692 117
13921 13920 105
13921 19389 85
13921 297 143
13922 13923 274
13922 22221 101
13922 35329 216
13923 4717 84
13923 13922 274
13923 35327 101
13924 12584 101
13925 7979 75
13925 12584 87
13925 27760 154
13926 4910 99
13926 7979 75
13926 7981 94
13927 7981 78
13927 8212 391
13927 12586 321
13927 13084 100
13928 13084 115
13928 13929 214
13928 30047 340
13929 13928 214
13930 4658 95
13930 13931 101
13930 34132 47
13931 13930 101
13931 13932 97
13931 23572 46
13932 13466 104
13932 13931 97
13932 32617 47
13933 4653 34
13933 13934 402
13933 13944 65
13934 13933 402
13934 13935 355
13934 14788 76
13934 27828 134
13935 12426 308
13935 13934 355
13935 14789 85
13935 27830 86
13936 4667 130
13936 13937 89
13936 37186 180
13937 6542 80
13937 13936 89
13937 37187 179
13938 13939 103
13938 21925 200
13938 27695 200
13938 45254 14
13939 13938 103
13939 13940 6
13939 23033 77
13940 13939 6
13940 13941 86
13940 30268 59
13941 13940 86
13941 13942 200
13941 31100 82
13942 4193 305
13942 13941 200
13942 19487 93
13942 19488 80
13943 4193 98
13943 4652 106
13943 37472 97
13943 1526 195
13944 13933 65
13944 30448 56
13944 37472 310
13945 4657 298
13945 13467 92
13945 28691 82
13946 27841 212
13947 13948 136
13947 21926 200
13947 22133 200
13947 35977 134
13948 13947 136
13948 27837 200
13948 32351 98
13949 4659 81
13949 13950 31
13949 26862 81
13950 13949 31
13951 13591 211
13951 21918 50
13951 21919 129
13952 13591 221
13952 13953 137
13952 16523 77
13952 16541 101
13953 13952 137
13953 13954 122
13953 21920 201
13953 27842 199
13954 13953 122
13954 13955 97
13954 17664 70
13955 13954 97
13955 21921 200
13955 27844 200
13956 12221 337
13956 18367 140
13956 18368 230
13957 9035 277
13957 12222 339
13957 18366 113
13958 13959 85
13958 15587 93
13958 21155 128
13959 13958 85
13959 13960 82
13959 29866 82
13959 29867 209
13960 13959 82
13960 13961 85
13960 31906 79
13960 31907 182
13961 2314 266
13961 13960 85
13961 13962 82
13961 26895 81
13962 13961 82
13962 13963 84
13962 21102 80
13963 13962 84
13963 13964 84
13963 25456 124
13963 33558 161
13964 13963 84
13964 13965 83
13964 27214 83
13964 27215 160
13965 13964 83
13965 13966 84
13965 30387 83
13965 30388 154
13966 2316 228
13966 3277 82
13966 13965 84
13966 34677 82
13967 9259 34
13968 10893 84
13968 13969 239
13968 18370 78
13969 7758 226
13969 13968 239
13969 17118 276
13970 4817 79
13970 19049 78
13971 13972 206
13971 23765 78
13971 24998 252
13972 13971 206
13972 23766 77
13972 23855 73
13973 13974 201
13973 20731 91
13973 20732 91
13974 13973 201
13974 13975 200
13974 27160 93
13974 33911 93
13975 13974 200
13975 13976 201
13975 27161 91
13975 31792 91
13976 13975 201
13976 13977 202
13976 19325 93
13976 19326 91
13977 13976 202
13977 13978 202
13977 27162 92
13977 27554 93
13978 13977 202
13978 13979 201
13978 27163 91
13978 27491 92
13979 13978 201
13979 25088 92
13979 25089 91
13980 13981 102
13980 27180 100
13980 33683 102
13980 40786 400
13981 13980 102
13981 13982 58
13981 27264 208
13982 13981 58
13982 27181 100
13982 42239 92
13983 13745 103
13983 13984 302
13983 26503 153
13983 26504 96
13984 13983 302
13984 13985 98
13984 28148 153
13985 13984 98
13985 27159 45
13985 34258 154
13986 11837 197
13986 27169 98
13986 34261 98
13987 11837 195
13987 29459 97
13987 47622 101
13988 3707 200
13988 13989 239
13988 26121 100
13988 26122 99
13989 13988 239
13989 13990 193
13989 27172 100
13989 30635 100
13990 11208 191
13990 13989 193
13990 27174 99
13990 31715 100
13991 11208 185
13991 13992 222
13991 27176 97
13991 33878 101
13992 13991 222
13992 13993 337
13992 20308 101
13992 20309 98
13993 13992 337
13993 13994 162
13993 27178 99
13993 33696 99
13994 13993 162
13994 27179 98
13994 33543 100
13995 20843 100
13995 32433 98
13995 41184 200
13995 42909 202
13996 13997 132
13996 33051 95
13996 42909 201
13996 46834 250
13997 13996 132
13997 13998 70
13997 15632 256
13998 13997 70
13999 9159 107
13999 14000 288
13999 14350 281
13999 17537 117
14000 9356 234
14000 13999 288
14000 18643 107
14000 18644 117
14001 9356 222
14001 14002 175
14001 20844 107
14001 31408 118
14002 7386 190
14002 14001 175
14002 20845 106
14002 29183 119
14003 7386 195
14003 14004 201
14003 20846 109
14003 27004 114
14004 14003 201
14004 20847 107
14004 22012 117
14005 14006 212
14005 27715 349
14005 27716 323
14005 48360 36
14006 12804 203
14006 14005 212
14006 19890 142
14007 3196 126
14007 47120 8
14007 47122 40
14008 3196 254
14008 14255 406
14008 14256 421
14008 39490 160
14009 6686 333
14009 9787 99
14009 14010 128
14010 14009 128
14010 22208 131
14010 48873 24
14011 14012 230
14011 34116 100
14011 48873 107
14011 48917 10
14012 12341 300
14012 14011 230
14012 14013 161
14012 20290 164
14013 13199 368
14013 14012 161
14013 20522 202
14013 27525 107
14014 7772 268
14014 8973 179
14014 14015 90
14014 21154 148
14015 12479 400
14015 14014 90
14015 14016 101
14015 21154 116
14016 14015 101
14016 14017 92
14016 29870 140
14017 8849 304
14017 14016 92
14017 14018 201
14017 28845 401
14018 14017 201
14018 28846 397
14018 44599 202
14019 12213 202
14019 32254 367
14019 32255 803
14019 44599 200
14020 12213 201
14020 12486 408
14020 14021 196
14020 30171 803
14021 12488 434
14021 14020 196
14021 14022 241
14021 30172 805
14022 8853 264
14022 14021 241
14022 14023 179
14022 17108 754
14023 8854 152
14023 14022 179
14023 14024 201
14023 28849 348
14024 3725 162
14024 7199 91
14024 14023 201
14024 24261 349
14025 49253 361
14025 3727 164
14025 7199 110
14025 28851 346
14026 49252 22
14026 49253 21
14026 49254 8
14026 19773 94
14027 49252 308
14027 14028 99
14027 19774 97
14027 34361 99
14028 14027 99
14028 14029 100
14028 18908 396
14028 19107 280
14029 12656 248
14029 14028 100
14029 19770 98
14029 26561 98
14030 12656 42
14031 39398 45
14031 39413 105
14031 36476 34
14031 36477 7
14032 20711 77
14032 20712 78
14032 39396 298
14032 36476 258
14033 31796 88
14033 39395 43
14033 39396 33
14033 39397 44
14033 36473 30
14034 2800 114
14034 10466 560
14034 24534 84
14035 10471 94
14035 14036 375
14035 24533 87
14036 14035 375
14036 24533 346
14036 24534 51
14037 6137 98
14038 14039 87
14038 24545 92
14038 30120 157
14039 3606 86
14039 14038 87
14039 22827 66
14040 3606 82
14040 14041 86
14040 31386 68
14041 14040 86
14041 24547 114
14041 44324 128
14042 7980 135
14043 12028 292
14043 34365 61
14043 46059 15
14044 14045 222
14044 14512 103
14044 14513 95
14044 48032 185
14045 14044 222
14045 14046 183
14045 17833 104
14045 17834 94
14046 14045 183
14046 20962 117
14046 38445 71
14047 9861 298
14047 9862 213
14047 14048 93
14047 42109 59
14048 9857 207
14048 9858 295
14048 14047 93
14049 11537 109
14049 14050 91
14049 32508 109
14050 14049 91
14051 42120 252
14052 9859 289
14052 14053 95
14052 42116 193
14053 9860 210
14053 14052 95
14053 14054 90
14054 14053 90
14054 14055 77
14054 33049 109
14054 41400 238
14055 10395 420
14055 14054 77
14055 14056 252
14056 10396 461
14056 14055 252
14056 32716 292
14057 8224 340
14057 14058 345
14057 33868 152
14057 33869 148
14058 14057 345
14058 14059 113
14058 24228 96
14059 14058 113
14059 21502 98
14059 21503 97
14060 14061 122
14061 14060 122
14061 14062 26
14061 29976 94
14062 14061 26
14062 14063 142
14062 29977 73
14063 11545 150
14063 14062 142
14063 16504 109
14064 14065 108
14064 20673 90
14064 20674 318
14064 42835 107
14065 4016 85
14065 14064 108
14065 14066 86
14065 33364 251
14066 14065 86
14066 14067 265
14066 16474 218
14067 6220 395
14067 14066 265
14067 16474 81
14067 33363 87
14068 6220 267
14068 16475 83
14068 20430 87
14069 14071 26
14069 44703 473
14069 48494 139
14070 14071 106
14071 14069 26
14071 14070 106
14071 32069 108
14072 2694 208
14072 14073 250
14072 23438 86
14072 40745 110
14073 14072 250
14073 23438 250
14073 23439 425
14073 40150 68
14074 7101 222
14074 15615 46
14074 15616 228
14075 7101 122
14075 14076 122
14075 23350 214
14075 23351 170
14076 14075 122
14076 20688 209
14076 20689 170
14076 45300 97
14077 14078 153
14077 25251 220
14077 31165 175
14077 45300 95
14078 14077 153
14078 14079 114
14078 20022 196
14078 28344 248
14079 14078 114
14079 14080 145
14079 48642 94
14080 14079 145
14080 25258 45
14080 44278 256
14081 44278 252
14081 34897 123
14081 38693 45
14081 48521 98
14082 14083 204
14082 17247 99
14082 25253 101
14082 38700 126
14083 14082 204
14083 17248 100
14083 18075 99
14083 40653 195
14084 14085 338
14084 25254 101
14084 40651 205
14084 40735 110
14085 14084 338
14085 17250 90
14085 25255 103
14086 40150 56
14087 17252 104
14087 39673 54
14087 39675 76
14088 14089 83
14089 14088 83
14089 18365 63
14089 20973 81
14090 14091 189
14090 21469 207
14090 46037 71
14090 46038 34
14091 14090 189
14091 14092 263
14091 18942 93
14091 27083 96
14092 14091 263
14092 14093 202
14092 18943 93
14092 26789 93
14093 3356 204
14093 14092 202
14093 16383 94
14093 16384 94
14094 3356 226
14094 6589 95
14094 18944 102
14095 14096 39
14096 14095 39
14096 24216 49
14096 24217 108
14097 29642 89
14097 32717 34
14097 42212 49
14097 45055 225
14098 28235 87
14098 29644 88
14098 45055 287
14099 14100 52
14099 14193 105
14099 23714 101
14100 14099 52
14101 14102 445
14101 32505 49
14101 183 363
14102 14101 445
14102 14103 473
14102 26609 139
14103 14102 473
14103 14104 7
14103 26609 446
14104 14103 7
14104 14105 77
14104 43034 232
14105 7069 166
14105 14104 77
14105 14106 104
14105 23627 83
14106 7068 135
14106 14105 104
14106 23628 83
14107 3841 80
14107 20917 87
14107 43476 167
14108 3845 135
14108 14109 83
14108 19154 144
14108 45317 114
14109 14108 83
14109 14110 33
14109 45197 50
14110 14109 33
14110 14111 49
14110 23966 137
14111 4521 67
14111 14110 49
14111 17945 267
14112 3847 112
14112 29014 112
14112 41937 246
14112 1751 217
14113 14114 37
14113 17120 468
14113 33936 85
14114 14113 37
14115 11504 411
14115 24997 95
14115 36449 127
14116 14117 84
14116 15058 127
14116 15059 111
14117 14116 84
14117 14118 39
14117 27274 60
14118 14117 39
14119 14120 222
14119 16093 102
14119 43994 14
14120 7785 122
14120 14119 222
14120 19733 118
14120 36447 135
14121 2564 88
14121 7784 110
14121 7785 107
14121 23881 238
14122 2564 61
14122 14123 62
14122 43996 98
14123 14122 62
14123 15753 86
14123 45099 315
14124 14125 202
14124 28214 301
14124 1668 97
14125 14124 202
14125 14126 202
14125 30044 100
14126 8799 101
14126 14125 202
14126 14127 401
14126 14477 96
14127 14126 401
14127 14128 203
14127 17162 96
14127 33411 100
14128 14127 203
14128 14129 100
14128 23885 98
14128 33981 99
14129 14128 100
14129 14130 100
14129 34379 97
14129 1669 98
14130 14129 100
14130 14131 100
14130 23886 100
14130 27908 97
14131 14130 100
14131 14132 100
14131 23887 99
14131 27387 98
14132 14131 100
14132 44306 99
14132 1670 99
14133 2792 90
14133 14134 314
14133 39367 93
14134 14133 314
14134 32489 287
14134 32490 92
14134 38304 93
14135 46403 57
14136 2792 403
14136 32812 91
14136 39368 95
14137 14138 67
14137 45141 7
14137 45743 35
14138 14137 67
14139 14140 81
14139 16343 87
14140 14139 81
14140 48035 66
14141 7698 218
14141 14142 141
14141 14356 80
14142 11440 82
14142 14141 141
14142 14143 151
14143 8302 57
14143 14142 151
14143 22999 123
14144 5988 82
14145 42130 91
14145 42133 162
14145 42134 243
14145 42135 88
14146 1893 86
14146 42129 118
14146 42154 98
14147 28340 113
14147 42147 92
14147 34914 26
14148 7919 93
14148 10127 128
14148 17446 98
14149 389 51
14149 390 98
14149 413 265
14150 39486 176
14151 22576 60
14151 22577 205
14151 45080 90
14152 12895 191
14152 14153 198
14152 20336 98
14152 37861 84
14153 7560 83
14153 14152 198
14153 18485 97
14154 26115 107
14154 29048 102
14154 42095 308
14155 10180 122
14155 14156 133
14155 15453 101
14156 2880 201
14156 9891 101
14156 14155 133
14156 19145 154
14157 14158 101
14158 14157 101
14158 14159 271
14158 15457 81
14158 33471 86
14159 14158 271
14159 15457 351
14159 33518 82
14160 12994 110
14160 15458 105
14160 37564 68
14161 14162 301
14161 15460 194
14161 30345 383
14162 14161 301
14162 14163 298
14162 15461 94
14162 30345 92
14163 14162 298
14163 30345 407
14163 32691 112
14164 7160 299
14164 10289 284
14164 15464 94
14164 31563 92
14165 9027 294
14165 15487 92
14165 31578 94
14166 12931 186
14166 14167 454
14166 33940 19
14167 14166 454
14167 14168 322
14167 33654 192
14168 14167 322
14169 2063 39
14169 40610 100
14169 38294 131
14170 14171 57
14170 28453 136
14170 36837 227
14171 14170 57
14172 26871 118
14172 32739 229
14172 46862 254
14173 14174 91
14173 20852 59
14173 20853 78
14174 14173 91
14174 14175 230
14174 21557 349
14175 14174 230
14175 21557 128
14175 21909 122
14176 14177 78
14177 14176 78
14177 20481 202
14177 23072 134
14178 14179 46
14179 14178 46
14179 14180 105
14179 25726 116
14179 30597 137
14180 14179 105
14181 14182 206
14181 17247 100
14181 40718 101
14181 38704 144
14182 13646 194
14182 14181 206
14182 17248 100
14182 40733 100
14183 14184 264
14183 40663 295
14183 40722 102
14183 40735 109
14184 14183 264
14184 17250 109
14184 33946 100
14185 12408 303
14185 30191 401
14185 44686 184
14186 12283 83
14186 21038 141
14186 42978 319
14187 5909 369
14187 14188 118
14187 17567 29
14188 4550 65
14188 14187 118
14188 17185 216
14189 4550 65
14189 20043 208
14189 38486 212
14190 10167 85
14190 14191 231
14190 31984 44
14191 14190 231
14191 14192 166
14191 31983 319
14192 3836 254
14192 10160 76
14192 14191 166
14192 26760 85
14193 14099 105
14193 14194 276
14193 20482 88
14194 14193 276
14195 7961 89
14195 41365 205
14195 41524 99
14195 42051 81
14196 7962 100
14196 20877 103
14196 41365 155
14197 7964 101
14197 14198 179
14197 18235 103
14197 42060 177
14198 14197 179
14198 41489 100
14198 41525 103
14199 14200 201
14199 26950 97
14199 26951 101
14200 14199 201
14200 27934 99
14200 32867 99
14201 14202 291
14201 46655 202
14201 46660 10
14201 46669 150
14202 8864 302
14202 14201 291
14202 18532 103
14203 4215 100
14203 8754 401
14203 14204 102
14204 14203 102
14204 37613 202
14204 48720 81
14205 4216 100
14205 47866 27
14205 48720 19
14206 4217 101
14206 6305 100
14206 19996 401
14206 46145 124
14207 6305 301
14207 14208 210
14207 22223 102
14207 45522 21
14208 14207 210
14208 14209 191
14208 45521 19
14209 3101 201
14209 14208 191
14209 14210 200
14209 30444 402
14210 4219 100
14210 14209 200
14210 14211 200
14210 30445 402
14211 3105 201
14211 14210 200
14211 14212 96
14211 30343 402
14212 3106 200
14212 14211 96
14212 14213 100
14213 3107 200
14213 14212 100
14213 14214 98
14214 3108 201
14214 14213 98
14214 14215 106
14215 4173 101
14215 4174 302
14215 11029 339
14215 14214 106
14216 39566 60
14216 45388 77
14216 37502 49
14217 4196 103
14217 4652 99
14217 27826 96
14217 35943 400
14218 4213 96
14218 6907 103
14218 23693 110
14218 35943 402
14219 4214 97
14219 6907 189
14219 14220 109
14219 26253 403
14220 14219 109
14220 14221 101
14220 19528 404
14220 30155 402
14221 14220 101
14221 14222 100
